"","DATE","water_date","PRCP"
"1",2008-10-01,2007-10-01,0
"2",2008-10-02,2007-10-02,0.02
"3",2008-10-03,2007-10-03,0.31
"4",2008-10-04,2007-10-04,1.8
"5",2008-10-05,2007-10-05,0.03
"6",2008-10-06,2007-10-06,0.19
"7",2008-10-07,2007-10-07,0.25
"8",2008-10-08,2007-10-08,0.01
"9",2008-10-09,2007-10-09,0
"10",2008-10-10,2007-10-10,0.52
"11",2008-10-11,2007-10-11,0.01
"12",2008-10-12,2007-10-12,0
"13",2008-10-13,2007-10-13,0
"14",2008-10-14,2007-10-14,0
"15",2008-10-15,2007-10-15,0
"16",2008-10-16,2007-10-16,0.12
"17",2008-10-17,2007-10-17,0.03
"18",2008-10-18,2007-10-18,0
"19",2008-10-19,2007-10-19,0
"20",2008-10-20,2007-10-20,0
"21",2008-10-21,2007-10-21,0.13
"22",2008-10-22,2007-10-22,0
"23",2008-10-23,2007-10-23,0
"24",2008-10-24,2007-10-24,0
"25",2008-10-25,2007-10-25,0
"26",2008-10-26,2007-10-26,0
"27",2008-10-27,2007-10-27,0
"28",2008-10-28,2007-10-28,0
"29",2008-10-29,2007-10-29,0
"30",2008-10-30,2007-10-30,0
"31",2008-10-31,2007-10-31,0.2
"32",2008-11-01,2007-11-01,0.13
"33",2008-11-02,2007-11-02,1.02
"34",2008-11-03,2007-11-03,0.71
"35",2008-11-04,2007-11-04,1.38
"36",2008-11-05,2007-11-05,0.38
"37",2008-11-06,2007-11-06,1.18
"38",2008-11-07,2007-11-07,0.16
"39",2008-11-08,2007-11-08,0.3
"40",2008-11-09,2007-11-09,0.67
"41",2008-11-10,2007-11-10,0.3
"42",2008-11-11,2007-11-11,0.59
"43",2008-11-12,2007-11-12,1.31
"44",2008-11-13,2007-11-13,0.75
"45",2008-11-14,2007-11-14,0.02
"46",2008-11-15,2007-11-15,0
"47",2008-11-16,2007-11-16,0
"48",2008-11-17,2007-11-17,0
"49",2008-11-18,2007-11-18,0.01
"50",2008-11-19,2007-11-19,0.02
"51",2008-11-20,2007-11-20,0.51
"52",2008-11-21,2007-11-21,0.12
"53",2008-11-22,2007-11-22,0.24
"54",2008-11-23,2007-11-23,0.02
"55",2008-11-24,2007-11-24,0
"56",2008-11-25,2007-11-25,0
"57",2008-11-26,2007-11-26,0
"58",2008-11-27,2007-11-27,0
"59",NA,2007-11-28,0
"60",NA,2007-11-29,0
"61",2008-11-30,2007-11-30,0
"62",2008-12-01,2007-12-01,0.01
"63",2008-12-02,2007-12-02,0.59
"64",2008-12-03,2007-12-03,0.03
